trial,topology,waveform,preinflation_psi,pmax_psi,nmse,rmse_deg,theta_std_deg,delay_decoding_index,mean_inter_pouch_corr
axial_1-10_parallel,parallel,axial,1,10,0.254620784949327,1.19044289408816,2.49318248130177,0,0.930037625872477
axial_3-5_parallel,parallel,axial,3,5,0.333675755181526,1.19275038481708,2.1535653991833,0,0.985302945219297
circular_3-10_parallel,parallel,circular,3,10,0.306304653260998,0.838484335812506,1.63073977411791,0,0.967518851958165
triangular_3-10_parallel,parallel,triangular,3,10,0.121941108318497,0.805967194171953,2.46609670709151,0,0.972918644738442
axial_1-5_parallel,parallel,axial,1,5,0.255933721422349,1.06777752292161,2.21630354821146,0,0.937483200726228
axial_2-10_parallel,parallel,axial,2,10,0.417930761328693,1.52614880371159,2.47179049342064,0,0.950297461466181
axial_2-5_parallel,parallel,axial,2,5,0.595955659994068,1.54394548057888,2.11555259749869,0,0.961441190853668
axial_3-10_parallel,parallel,axial,3,10,0.32633884617238,1.34125363957692,2.44671570091722,0,0.975526783009511
circular_1-10_parallel,parallel,circular,1,10,0.249880051145441,0.927277516318157,1.97846760102672,0,0.868964808706816
circular_1-5_parallel,parallel,circular,1,5,0.225382155730986,0.886572054727652,1.97949810301158,0,0.896597377461064
circular_2-10_parallel,parallel,circular,2,10,0.282269117318664,0.865065131859841,1.78332232437674,0,0.941300559345263
circular_2-5_parallel,parallel,circular,2,5,0.603494711601254,1.25880853637837,1.75940212019216,0,0.952493316379075
circular_3-5_parallel,parallel,circular,3,5,0.228375581668239,0.738160105070484,1.65241227769579,0,0.982521747360389
triangular_1-10_parallel,parallel,triangular,1,10,0.0625902192638479,0.691955025189694,2.94865000627801,0,0.847026967514135
triangular_1-5_parallel,parallel,triangular,1,5,0.0601733507129745,0.599927697480023,2.55766937201593,0,0.878706511552553
triangular_3-5_parallel,parallel,triangular,3,5,0.204549786708071,0.965381161481766,2.25141060529433,0,0.98330471376367
triangular_2-10_parallel,parallel,triangular,2,10,0.184057640985942,1.03632804286732,2.61339265665405,0,0.949970281072587
triangular_2-5_parallel,parallel,triangular,2,5,0.145872799125363,0.795942628941817,2.29158210202582,0,0.788197333110041
axial_1-10_coupled,coupled,axial,1,10,0.503479407497854,1.648396469222,2.43466154544217,0,0.984977454093896
axial_1-5_coupled,coupled,axial,1,5,0.78782255190717,1.79854520657818,2.18538397834301,0,0.985833600608431
axial_2-5_coupled,coupled,axial,2,5,0.817924663092184,1.77368667492021,2.07943463277333,0,0.992761259450607
axial_3-5_coupled,coupled,axial,3,5,0.966762243899489,1.92441496923982,2.11986029364814,0,0.995106285543395
circular_1-10_coupled,coupled,circular,1,10,0.640910553924056,1.50681238481609,1.99958125813159,0,0.98581590835346
circular_3-10_coupled,coupled,circular,3,10,0.821439641847665,1.43515560955804,1.56280300024896,0,0.99468531907407
circular_3-5_coupled,coupled,circular,3,5,0.757771064810238,1.27463942366266,1.55690877494769,0,0.996169121445246
triangular_3-10_coupled,coupled,triangular,3,10,0.762252797675973,1.84484146645542,2.21832685546544,0,0.995067772828178
triangular_3-5_coupled,coupled,triangular,3,5,0.84854686095977,1.76238581468358,2.06455721141482,0,0.99724044109844
axial_2-10_coupled,coupled,axial,2,10,0.717402563164488,1.93638504887288,2.3911407765377,0,0.990396088795361
axial_3-10_coupled,coupled,axial,3,10,0.877862259829568,2.1402328821124,2.39423668767687,0,0.993522899026728
circular_1-5_coupled,coupled,circular,1,5,0.457543122694753,1.1947788831001,1.92120852109793,0,0.984771371105441
circular_2-10_coupled,coupled,circular,2,10,0.892091839744182,1.56522041523061,1.68541208599203,0,0.993389069122333
circular_2-5_coupled,coupled,circular,2,5,0.671623275313461,1.24230407236221,1.61714215666485,0,0.994495251656829
triangular_1-10_coupled,coupled,triangular,1,10,0.560200221510326,2.05435912020416,2.85589849128541,0,0.987889799662627
triangular_1-5_coupled,coupled,triangular,1,5,0.313570574306598,1.27922555736694,2.43278359698363,0,0.985591872444154
triangular_2-10_coupled,coupled,triangular,2,10,0.789518598822354,2.13552057070842,2.50858182953253,0,0.996380498868398
triangular_2-5_coupled,coupled,triangular,2,5,0.901045411910367,1.90799669149494,2.1420023852115,0,0.995752969845543
