time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.136042,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484767,1.229218,0.319669,0.000909,0.005877,0.000982,-0.999982,0.543442,1.127836,0.229237,-0.001191,-0.005839,-0.000566,0.999982,0.577258,0.803670,0.272704,-0.018233,-0.017241,0.015865,0.999559
0.146346,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484767,1.229218,0.319669,0.000909,0.005877,0.000982,-0.999982,0.543442,1.127836,0.229237,-0.001191,-0.005839,-0.000566,0.999982,0.577258,0.803670,0.272704,-0.018233,-0.017241,0.015865,0.999559
0.156665,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484758,1.229215,0.319670,0.000909,0.005873,0.000988,-0.999982,0.543437,1.127835,0.229237,-0.001196,-0.005835,-0.000560,0.999982,0.577256,0.803673,0.272700,-0.018229,-0.017242,0.015860,0.999559
0.167024,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484758,1.229215,0.319670,0.000909,0.005873,0.000988,-0.999982,0.543437,1.127835,0.229237,-0.001196,-0.005835,-0.000560,0.999982,0.577256,0.803673,0.272700,-0.018229,-0.017242,0.015860,0.999559
0.177279,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484761,1.229215,0.319675,0.000913,0.005876,0.000985,-0.999982,0.543441,1.127840,0.229238,-0.001184,-0.005797,-0.000543,0.999982,0.577257,0.803674,0.272705,-0.018236,-0.017246,0.015867,0.999559
0.187477,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484761,1.229215,0.319675,0.000913,0.005876,0.000985,-0.999982,0.543441,1.127840,0.229238,-0.001184,-0.005797,-0.000543,0.999982,0.577257,0.803674,0.272705,-0.018236,-0.017246,0.015867,0.999559
0.197673,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484764,1.229217,0.319673,0.000906,0.005871,0.000982,-0.999982,0.543443,1.127841,0.229235,-0.001181,-0.005767,-0.000554,0.999983,0.577255,0.803672,0.272702,-0.018238,-0.017239,0.015870,0.999559
0.207896,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484764,1.229217,0.319673,0.000906,0.005871,0.000982,-0.999982,0.543443,1.127841,0.229235,-0.001181,-0.005767,-0.000554,0.999983,0.577255,0.803672,0.272702,-0.018238,-0.017239,0.015870,0.999559
0.218114,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.020,-0.053,0.023,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484764,1.229217,0.319673,0.000906,0.005871,0.000982,-0.999982,0.543443,1.127841,0.229235,-0.001181,-0.005767,-0.000554,0.999983,0.577255,0.803672,0.272702,-0.018238,-0.017239,0.015870,0.999559
0.228301,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484766,1.229220,0.319670,0.000899,0.005877,0.000980,-0.999982,0.543441,1.127839,0.229234,-0.001201,-0.005788,-0.000563,0.999982,0.577258,0.803677,0.272704,-0.018234,-0.017240,0.015871,0.999559
