time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.000793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496973,1.230086,0.353341,-0.000088,-0.000943,-0.000698,0.999999,0.555420,1.128019,0.263730,0.843010,0.014008,-0.537716,0.000181,0.599842,0.813317,0.263667,-0.672935,-0.040725,0.733020,-0.090456
0.021188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496973,1.230086,0.353341,-0.000088,-0.000943,-0.000698,0.999999,0.555420,1.128019,0.263730,0.843010,0.014008,-0.537716,0.000181,0.599842,0.813317,0.263667,-0.672935,-0.040725,0.733020,-0.090456
0.031387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496981,1.230080,0.353337,-0.000095,-0.000940,-0.000698,0.999999,0.555411,1.128019,0.263730,0.843013,0.014033,-0.537710,0.000174,0.599840,0.813314,0.263667,-0.672929,-0.040728,0.733025,-0.090455
0.041620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496972,1.230078,0.353349,-0.000081,-0.000945,-0.000691,0.999999,0.555415,1.128022,0.263729,0.843019,0.014035,-0.537700,0.000187,0.599854,0.813314,0.263658,-0.672921,-0.040744,0.733032,-0.090452
0.051869,0.000,0.000,0.000,0.436,0.445,0.422,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496972,1.230078,0.353349,-0.000081,-0.000945,-0.000691,0.999999,0.555415,1.128022,0.263729,0.843019,0.014035,-0.537700,0.000187,0.599854,0.813314,0.263658,-0.672921,-0.040744,0.733032,-0.090452
0.062062,0.000,0.000,0.000,0.436,0.445,0.422,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496986,1.230083,0.353340,-0.000095,-0.000945,-0.000707,0.999999,0.555418,1.128016,0.263734,0.843017,0.013986,-0.537706,0.000180,0.599842,0.813313,0.263667,-0.672936,-0.040732,0.733019,-0.090451
0.072215,0.000,0.000,0.000,0.436,0.445,0.422,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496982,1.230082,0.353339,-0.000094,-0.000938,-0.000697,0.999999,0.555412,1.128022,0.263731,0.843006,0.014013,-0.537721,0.000170,0.599839,0.813315,0.263669,-0.672930,-0.040729,0.733025,-0.090453
0.082286,0.000,0.000,0.000,0.436,0.445,0.422,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496982,1.230082,0.353339,-0.000094,-0.000938,-0.000697,0.999999,0.555412,1.128022,0.263731,0.843006,0.014013,-0.537721,0.000170,0.599839,0.813315,0.263669,-0.672930,-0.040729,0.733025,-0.090453
0.092425,0.000,0.000,0.000,0.436,0.445,0.422,0.429,0.445,0.480,0.384,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496980,1.230082,0.353337,-0.000093,-0.000937,-0.000696,0.999999,0.555413,1.128020,0.263730,0.843016,0.014047,-0.537705,0.000186,0.599842,0.813316,0.263667,-0.672933,-0.040733,0.733022,-0.090449
