time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.002364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496981,1.230095,0.35334,-0.00008,-0.000938,-0.000698,0.999999,0.555434,1.12803,0.263722,0.843045,0.014118,-0.537658,0.000135,0.607282,0.809166,0.268186,-0.668449,-0.048215,0.731521,-0.125412
0.023118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496981,1.230095,0.35334,-0.00008,-0.000938,-0.000698,0.999999,0.555434,1.12803,0.263722,0.843045,0.014118,-0.537658,0.000135,0.607282,0.809166,0.268186,-0.668449,-0.048215,0.731521,-0.125412
0.033485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496981,1.230095,0.35334,-0.00008,-0.000938,-0.000698,0.999999,0.555434,1.12803,0.263722,0.843045,0.014118,-0.537658,0.000135,0.607282,0.809166,0.268186,-0.668449,-0.048215,0.731521,-0.125412
0.043815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496986,1.230099,0.35334,-0.000081,-0.000935,-0.000708,0.999999,0.555432,1.12803,0.263719,0.84304,0.014149,-0.537664,0.000136,0.607278,0.809189,0.268137,-0.668391,-0.048277,0.731562,-0.125458
0.054281,0,0,0,0.643,0.65,0.63,0.63,0,0,0,0,0,0,0,0,0.496986,1.230099,0.35334,-0.000081,-0.000935,-0.000708,0.999999,0.555432,1.12803,0.263719,0.84304,0.014149,-0.537664,0.000136,0.607278,0.809189,0.268137,-0.668391,-0.048277,0.731562,-0.125458
0.064566,0,0,0,0.643,0.65,0.63,0.63,0,0,0,0,0,0,0,0,0.496986,1.230099,0.35334,-0.000081,-0.000935,-0.000708,0.999999,0.555432,1.12803,0.263719,0.84304,0.014149,-0.537664,0.000136,0.607278,0.809189,0.268137,-0.668391,-0.048277,0.731562,-0.125458
0.074792,0,0,0,0.643,0.65,0.63,0.63,0,0,0,0,0,0,0,0,0.496984,1.230098,0.353337,-0.000083,-0.000937,-0.0007,0.999999,0.555431,1.12803,0.263719,0.843041,0.014131,-0.537664,0.000123,0.607268,0.809187,0.268147,-0.668403,-0.048267,0.731556,-0.125435
0.084998,0,0,0,0.643,0.65,0.63,0.63,0,0,0,0,0,0,0,0,0.496984,1.230098,0.353337,-0.000083,-0.000937,-0.0007,0.999999,0.555431,1.12803,0.263719,0.843041,0.014131,-0.537664,0.000123,0.607268,0.809187,0.268147,-0.668403,-0.048267,0.731556,-0.125435
0.095246,0,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0,0,0,0,0.496984,1.230098,0.353337,-0.000083,-0.000937,-0.0007,0.999999,0.555431,1.12803,0.263719,0.843041,0.014131,-0.537664,0.000123,0.607268,0.809187,0.268147,-0.668403,-0.048267,0.731556,-0.125435
0.105415,0,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0,0,0,0,0.496982,1.2301,0.353338,-0.000081,-0.000939,-0.000703,0.999999,0.555426,1.128032,0.263723,0.843033,0.014139,-0.537676,0.000128,0.607274,0.809179,0.268143,-0.668407,-0.048286,0.731554,-0.12542
0.115662,0,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0,0,0,0,0.496982,1.2301,0.353338,-0.000081,-0.000939,-0.000703,0.999999,0.555426,1.128032,0.263723,0.843033,0.014139,-0.537676,0.000128,0.607274,0.809179,0.268143,-0.668407,-0.048286,0.731554,-0.12542
0.125882,0,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0,0,0,0,0.496987,1.230103,0.353338,-0.000067,-0.000943,-0.000697,0.999999,0.555436,1.128031,0.263718,0.843035,0.014141,-0.537673,0.00013,0.60727,0.809183,0.268145,-0.668407,-0.048276,0.731554,-0.125419
0.136254,0,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496987,1.2301,0.353339,-0.000077,-0.000939,-0.000702,0.999999,0.555427,1.128028,0.263719,0.843026,0.014122,-0.537687,0.000105,0.607269,0.809184,0.268139,-0.668396,-0.048289,0.731562,-0.125427
0.146509,0.667,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496987,1.2301,0.353339,-0.000077,-0.000939,-0.000702,0.999999,0.555427,1.128028,0.263719,0.843026,0.014122,-0.537687,0.000105,0.607269,0.809184,0.268139,-0.668396,-0.048289,0.731562,-0.125427
0.156728,0.667,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.49698,1.230101,0.353339,-0.00008,-0.000937,-0.000707,0.999999,0.555437,1.128031,0.263722,0.843026,0.014133,-0.537686,0.000151,0.607258,0.809177,0.268141,-0.668405,-0.048274,0.731558,-0.125407
0.166921,0.667,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496985,1.230096,0.353337,-0.00008,-0.000934,-0.000697,0.999999,0.555429,1.128028,0.263722,0.843046,0.014138,-0.537656,0.000125,0.607268,0.809193,0.268139,-0.668395,-0.048275,0.731561,-0.125442
0.177091,0.667,0,0,0.643,0.65,0.63,0.63,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496984,1.230097,0.353338,-0.000075,-0.000942,-0.000704,0.999999,0.555426,1.128028,0.26372,0.84305,0.014148,-0.537649,0.000122,0.607267,0.809188,0.268142,-0.668408,-0.048266,0.731554,-0.125421
0.187236,0.667,0,0,0.642,0.652,0.629,0.632,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496984,1.230097,0.353338,-0.000075,-0.000942,-0.000704,0.999999,0.555426,1.128028,0.26372,0.84305,0.014148,-0.537649,0.000122,0.607267,0.809188,0.268142,-0.668408,-0.048266,0.731554,-0.125421
0.197395,0.667,0,0,0.642,0.652,0.629,0.632,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496982,1.230097,0.353337,-0.000076,-0.000939,-0.000707,0.999999,0.555439,1.12803,0.263721,0.843043,0.0141,-0.537662,0.000125,0.607264,0.809177,0.268138,-0.668407,-0.048273,0.731557,-0.125405
0.207547,0.667,0,0,0.642,0.652,0.629,0.632,0.643,0.681,0.59,0.666,0.633,0.642,0.007,-0.037,0.496983,1.230099,0.353339,-0.00008,-0.000936,-0.000705,0.999999,0.555428,1.128031,0.263723,0.843025,0.014171,-0.537688,0.00014,0.607267,0.809188,0.268141,-0.668409,-0.048267,0.731554,-0.125416
