step_id,time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.008452104,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.267922,1.230553,0.360632,0.001107,0.007754,0.000714,0.999969,0.239372,1.117653,0.360186,0.00243,0.008826,-0.000116,0.999958,0.279967,0.798985,0.377918,0.062123,0.009454,-0.013831,0.997928,0.005686963,2.0,0.0
1.0,0.07483444,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
2.0,0.075194836,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
3.0,0.07532746,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
4.0,0.07536601,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
5.0,0.07540317,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
6.0,0.07543246,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
7.0,0.08932116,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
8.0,0.08936456,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.26792,1.230554,0.360634,0.001113,0.007757,0.00071,0.999969,0.239374,1.117652,0.360188,0.002431,0.008807,-0.00011,0.999958,0.279971,0.799016,0.377931,0.062057,0.009446,-0.013835,0.997932,0.03454156,2.0,0.0
9.0,0.10014422,2.0,2.0,2.0,2.0,0.9175606,0.83842385,0.00137109,0.02460938,0.0052207,-0.00165234,0.0015293,0.01151367,0.03642188,0.5435156,0.403875,0.35956055,0.00515039,0.00441211,0.00288281,0.00497461,0.267921,1.230553,0.360632,0.001111,0.00775,0.000711,0.999969,0.239369,1.117653,0.360189,0.002447,0.008807,-0.000103,0.999958,0.279968,0.799064,0.377959,0.06193,0.009435,-0.013835,0.99794,0.08940327,2.0,0.0
10.0,0.1139815,2.0,2.0,2.0,2.0,0.9175606,0.83842385,0.00137109,0.02460938,0.0052207,-0.00165234,0.0015293,0.01151367,0.03642188,0.5435156,0.403875,0.35956055,0.00515039,0.00441211,0.00288281,0.00497461,0.267921,1.230554,0.360633,0.001107,0.007753,0.000711,0.999969,0.239366,1.117654,0.360187,0.00242,0.008796,-0.000129,0.999958,0.279959,0.799163,0.378014,0.06166,0.009405,-0.013855,0.997957,0.106215976,2.0,0.0
11.0,0.12859997,2.0,2.0,2.0,2.0,0.9175606,0.83842385,0.00137109,0.02460938,0.0052207,-0.00165234,0.0015293,0.01151367,0.03642188,0.5435156,0.403875,0.35956055,0.00515039,0.00441211,0.00288281,0.00497461,0.267921,1.230554,0.360633,0.001107,0.007753,0.000711,0.999969,0.239366,1.117654,0.360187,0.00242,0.008796,-0.000129,0.999958,0.279959,0.799163,0.378014,0.06166,0.009405,-0.013855,0.997957,0.106215976,2.0,0.0
12.0,0.12863943,2.0,2.0,2.0,2.0,0.9175606,0.83842385,0.00137109,0.02460938,0.0052207,-0.00165234,0.0015293,0.01151367,0.03642188,0.5435156,0.403875,0.35956055,0.00515039,0.00441211,0.00288281,0.00497461,0.267921,1.230554,0.360633,0.001107,0.007753,0.000711,0.999969,0.239366,1.117654,0.360187,0.00242,0.008796,-0.000129,0.999958,0.279959,0.799163,0.378014,0.06166,0.009405,-0.013855,0.997957,0.106215976,2.0,0.0
