step_id,time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.015355229,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268348,1.230704,0.360399,0.001373,0.007885,0.001218,0.999967,0.239909,1.11777,0.359933,0.002719,0.008943,0.00039,0.999956,0.280587,0.798806,0.375747,0.969518,0.066094,-0.224706,-0.071937,-0.005692418,2.0,0.0
1.0,0.05938415,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268357,1.230696,0.360406,0.001379,0.00788,0.001199,0.999967,0.239903,1.117775,0.359931,0.002678,0.0089,0.000409,0.999957,0.280562,0.798982,0.375799,0.969555,0.066014,-0.22473,-0.071423,0.050302833,2.0,0.0
2.0,0.05962653,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268357,1.230696,0.360406,0.001379,0.00788,0.001199,0.999967,0.239903,1.117775,0.359931,0.002678,0.0089,0.000409,0.999957,0.280562,0.798982,0.375799,0.969555,0.066014,-0.22473,-0.071423,0.050302833,2.0,0.0
3.0,0.05970279,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268357,1.230696,0.360406,0.001379,0.00788,0.001199,0.999967,0.239903,1.117775,0.359931,0.002678,0.0089,0.000409,0.999957,0.280562,0.798982,0.375799,0.969555,0.066014,-0.22473,-0.071423,0.050302833,2.0,0.0
4.0,0.05974056,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268357,1.230696,0.360406,0.001379,0.00788,0.001199,0.999967,0.239903,1.117775,0.359931,0.002678,0.0089,0.000409,0.999957,0.280562,0.798982,0.375799,0.969555,0.066014,-0.22473,-0.071423,0.050302833,2.0,0.0
5.0,0.06856782,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268357,1.230696,0.360406,0.001379,0.00788,0.001199,0.999967,0.239903,1.117775,0.359931,0.002678,0.0089,0.000409,0.999957,0.280562,0.798982,0.375799,0.969555,0.066014,-0.22473,-0.071423,0.050302833,2.0,0.0
6.0,0.086962685,2.0,2.0,2.0,2.0,0.98122853,0.84046286,-0.00174023,0.02858203,0.00073828,0.00448242,-0.00755859,0.00451758,0.0676582,0.53353125,0.40271485,0.3647461,-0.00151172,0.00107227,-0.00984375,0.00268945,0.268356,1.230698,0.360409,0.001379,0.007885,0.001203,0.999967,0.239904,1.117779,0.359932,0.002692,0.0089,0.000423,0.999957,0.280217,0.799913,0.375609,0.969195,0.068719,-0.225543,-0.071204,0.06730312,2.0,0.0
7.0,0.08724667,2.0,2.0,2.0,2.0,0.98122853,0.84046286,-0.00174023,0.02858203,0.00073828,0.00448242,-0.00755859,0.00451758,0.0676582,0.53353125,0.40271485,0.3647461,-0.00151172,0.00107227,-0.00984375,0.00268945,0.268356,1.230698,0.360409,0.001379,0.007885,0.001203,0.999967,0.239904,1.117779,0.359932,0.002692,0.0089,0.000423,0.999957,0.280217,0.799913,0.375609,0.969195,0.068719,-0.225543,-0.071204,0.06730312,2.0,0.0
8.0,0.10072671,2.0,2.0,2.0,2.0,0.98122853,0.84046286,-0.00174023,0.02858203,0.00073828,0.00448242,-0.00755859,0.00451758,0.0676582,0.53353125,0.40271485,0.3647461,-0.00151172,0.00107227,-0.00984375,0.00268945,0.268358,1.230697,0.360407,0.001381,0.007885,0.001199,0.999967,0.239913,1.117764,0.359936,0.002734,0.008939,0.000369,0.999956,0.280244,0.799903,0.375656,0.969231,0.068522,-0.225492,-0.071057,0.09415502,2.0,0.0
9.0,0.11199316,2.0,2.0,2.0,2.0,0.98122853,0.84046286,-0.00174023,0.02858203,0.00073828,0.00448242,-0.00755859,0.00451758,0.0676582,0.53353125,0.40271485,0.3647461,-0.00151172,0.00107227,-0.00984375,0.00268945,0.268358,1.230697,0.360407,0.001381,0.007885,0.001199,0.999967,0.239913,1.117764,0.359936,0.002734,0.008939,0.000369,0.999956,0.280244,0.799903,0.375656,0.969231,0.068522,-0.225492,-0.071057,0.09415502,2.0,0.0
