step_id,time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.017718395,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278231,1.230816,0.361702,0.001233,0.001007,0.001273,0.999998,0.249676,1.117699,0.361049,0.001705,0.002026,0.000393,0.999996,0.29101,0.804872,0.379353,0.063086,0.003625,-0.009135,0.99796,0.003004846,2.0,0.0
1.0,0.044734146,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278236,1.230817,0.361702,0.001239,0.001012,0.00128,0.999998,0.249668,1.117705,0.361048,0.001741,0.002064,0.000431,0.999996,0.291172,0.804988,0.379135,0.062942,0.003908,-0.009137,0.997968,0.03154783,2.0,0.0
2.0,0.044801634,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278236,1.230817,0.361702,0.001239,0.001012,0.00128,0.999998,0.249668,1.117705,0.361048,0.001741,0.002064,0.000431,0.999996,0.291172,0.804988,0.379135,0.062942,0.003908,-0.009137,0.997968,0.03154783,2.0,0.0
3.0,0.054869667,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278236,1.230814,0.361702,0.001238,0.001006,0.001282,0.999998,0.249669,1.117704,0.361049,0.001753,0.002045,0.000438,0.999996,0.291167,0.805014,0.379142,0.062881,0.003895,-0.009167,0.997971,0.04485606,2.0,0.0
4.0,0.06342146,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278236,1.230814,0.361702,0.001238,0.001006,0.001282,0.999998,0.249669,1.117704,0.361049,0.001753,0.002045,0.000438,0.999996,0.291167,0.805014,0.379142,0.062881,0.003895,-0.009167,0.997971,0.04485606,2.0,0.0
5.0,0.071120456,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278239,1.230813,0.361702,0.001237,0.001003,0.001268,0.999998,0.249662,1.117703,0.361051,0.001743,0.002041,0.000432,0.999996,0.291152,0.805063,0.379162,0.062785,0.003886,-0.009206,0.997977,0.063487895,2.0,0.0
6.0,0.0863006,2.0,2.0,2.0,2.0,0.26165038,0.55088085,0.00198633,0.03617578,-0.00548437,0.00272461,-0.01128516,-0.00516797,0.02649023,0.5076914,0.35495508,0.29968944,-0.00047461,-0.0029707,0.00021094,-0.00891211,0.278241,1.230813,0.361707,0.001239,0.000998,0.001272,0.999998,0.249664,1.117705,0.361053,0.001745,0.002006,0.000436,0.999996,0.291096,0.805099,0.379208,0.062669,0.00384,-0.009288,0.997984,0.072587624,2.0,0.0
7.0,0.09280594,2.0,2.0,2.0,2.0,0.26165038,0.55088085,0.00198633,0.03617578,-0.00548437,0.00272461,-0.01128516,-0.00516797,0.02649023,0.5076914,0.35495508,0.29968944,-0.00047461,-0.0029707,0.00021094,-0.00891211,0.278241,1.230813,0.361707,0.001239,0.000998,0.001272,0.999998,0.249664,1.117705,0.361053,0.001745,0.002006,0.000436,0.999996,0.291096,0.805099,0.379208,0.062669,0.00384,-0.009288,0.997984,0.072587624,2.0,0.0
8.0,0.107257925,2.0,2.0,2.0,2.0,0.26165038,0.55088085,0.00198633,0.03617578,-0.00548437,0.00272461,-0.01128516,-0.00516797,0.02649023,0.5076914,0.35495508,0.29968944,-0.00047461,-0.0029707,0.00021094,-0.00891211,0.278234,1.230814,0.361706,0.001236,0.001001,0.001276,0.999998,0.249658,1.117706,0.361052,0.001732,0.002014,0.000454,0.999996,0.290915,0.805108,0.379457,0.062543,0.00353,-0.009407,0.997992,0.09318577,2.0,0.0
9.0,0.1127679,2.0,2.0,2.0,2.0,0.26165038,0.55088085,0.00198633,0.03617578,-0.00548437,0.00272461,-0.01128516,-0.00516797,0.02649023,0.5076914,0.35495508,0.29968944,-0.00047461,-0.0029707,0.00021094,-0.00891211,0.278236,1.230813,0.361705,0.001242,0.001001,0.001273,0.999998,0.249617,1.117791,0.361013,0.002304,0.002166,0.000773,0.999995,0.290901,0.805152,0.379469,0.062436,0.003518,-0.009462,0.997998,0.10742892,2.0,0.0
