trial,file,topology,waveform,preinflation_psi,pmax_psi,nmse,rmse_deg,delay_decoding_index,mean_inter_pouch_corr,mean_ccc,pc1_variance_pct,participation_ratio,mean_pouch_sigma_psi,response_diversity,mean_snr,mean_dynamic_range_psi,mean_sensitivity_psi_per_deg,theta_std_deg
axial_1-5_coupled,Axial_1-5_coupled.csv,coupled,axial,1,5,0.888272051616886,1.91166594454167,9.16350895889281,0.985758638799101,0.954428812247841,98.8625187399283,1.0231078144479,0.0251368139690182,0.0324471495488687,697.312411271554,0.127968718,0.00594031498267586,2.18470596603648
axial_1-10_coupled,Axial_1-10_coupled.csv,coupled,axial,1,10,0.536500522417639,1.70375744675892,17.5014791085762,0.9849399089181,0.920274580621862,98.7964965979074,1.02447288551399,0.0249072038572962,0.0170508217907787,669.201600078821,0.124593746,0.00629959691084934,2.43235077935238
axial_2-5_coupled,Axial_2-5_coupled.csv,coupled,axial,2,5,1.00933382271221,1.97271404585483,3.86994327273916,0.992740585706153,0.908441672422234,99.4211789872624,1.01166888580542,0.0389624938996756,0.0239668687741013,1551.08518103572,0.18787498,0.00690909077783551,2.07921875493213
axial_2-10_coupled,axial_2-10_coupled.csv,coupled,axial,2,10,0.88584041982469,2.15424974643419,8.20262329549427,0.99037549361973,0.900314675649457,99.2318898446288,1.01552524486012,0.0327889737449472,0.0173021122201051,1095.42800456936,0.16650004,0.00622402499630682,2.38949540580237
axial_3-5_coupled,Axial_3-5_coupled.csv,coupled,axial,3,5,1.05831658635255,2.01554866358588,0,0.99508704610296,0.898206896918071,99.6074619839632,1.00789324921429,0.0440581935119405,0.0110814785028035,2100.77008728805,0.20784372,0.00493849427655782,2.11925530765034
axial_3-10_coupled,axial_3-10_coupled.csv,coupled,axial,3,10,1.07690548662383,2.37366557955157,4.04499500902421,0.993500065991705,0.864654875469554,99.4805068574696,1.01046435311243,0.0387975219867083,0.0206674778311402,1657.41157748677,0.18562498,0.0054878196014869,2.39231567454845
circular_1-5_coupled,circular_1-5_coupled.csv,coupled,circular,1,5,0.344785526566706,1.03486561226865,11.7157563935568,0.984640646520543,0.914404796215594,98.7738540049363,1.02493538514166,0.0249172158884614,0.0188588759589904,584.604523484948,0.162281264,0.00843319683040695,1.92108691519175
circular_1-10_coupled,Circular_1-10_coupled.csv,coupled,circular,1,10,0.719778353390158,1.59317998435884,5.79035277530773,0.985592926111757,0.944570173110649,98.8545375768406,1.0232711621675,0.0251083638694284,0.0161137941292309,600.224139620159,0.18449999,0.00642729156001643,1.99883585813502
circular_2-5_coupled,circular_2-5_coupled.csv,coupled,circular,2,5,0.92912557037196,1.45773144672036,0.978159076665138,0.994453253001834,0.949788587294444,99.560145112086,1.00885011578425,0.0453247830496031,0.0221082703192583,1853.30364693997,0.2716875,0.00796429441441788,1.61663447218112
circular_2-10_coupled,circular_2-10_coupled.csv,coupled,circular,2,10,1.06168244835662,1.70357027257978,1.61537694300599,0.99332763870382,0.93268688196482,99.4605311328425,1.01086790994545,0.0429566581627353,0.0238713806225061,1593.72454559771,0.28603128,0.00746815458281514,1.68400974972117
