time,pd_4,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.002045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496776,1.230023,0.353285,-0.000181,-0.000861,-0.000602,0.999999,0.555087,1.128195,0.263895,0.842876,0.014828,-0.537903,0.000332,0.593496,0.823779,0.256759,-0.082867,-0.002238,-0.002982,0.996554
0.032759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496776,1.230023,0.353285,-0.000181,-0.000861,-0.000602,0.999999,0.555087,1.128195,0.263895,0.842876,0.014828,-0.537903,0.000332,0.593496,0.823779,0.256759,-0.082867,-0.002238,-0.002982,0.996554
0.043010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496783,1.230026,0.353287,-0.000187,-0.000865,-0.000612,0.999999,0.555087,1.128202,0.263895,0.842875,0.014846,-0.537904,0.000300,0.593496,0.823784,0.256760,-0.082863,-0.002239,-0.002989,0.996554
0.053276,0.000,6.000,0.000,0.013,0.133,-0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496781,1.230022,0.353286,-0.000186,-0.000863,-0.000613,0.999999,0.555087,1.128196,0.263897,0.842876,0.014854,-0.537903,0.000293,0.593488,0.823776,0.256761,-0.082859,-0.002231,-0.002988,0.996554
0.063544,0.000,6.000,0.000,0.013,0.133,-0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496781,1.230022,0.353286,-0.000186,-0.000863,-0.000613,0.999999,0.555087,1.128196,0.263897,0.842876,0.014854,-0.537903,0.000293,0.593488,0.823776,0.256761,-0.082859,-0.002231,-0.002988,0.996554
0.073795,0.000,6.000,0.000,0.013,0.133,-0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496781,1.230021,0.353283,-0.000181,-0.000869,-0.000603,0.999999,0.555079,1.128198,0.263891,0.842860,0.014859,-0.537928,0.000293,0.593485,0.823778,0.256761,-0.082863,-0.002235,-0.002994,0.996554
0.083992,0.000,6.000,0.000,0.013,0.133,-0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496787,1.230024,0.353282,-0.000178,-0.000873,-0.000607,0.999999,0.555084,1.128200,0.263896,0.842868,0.014862,-0.537915,0.000295,0.593488,0.823779,0.256762,-0.082869,-0.002229,-0.002992,0.996554
0.094253,0.000,6.000,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.000,0.000,0.000,0.000,0.496787,1.230024,0.353282,-0.000178,-0.000873,-0.000607,0.999999,0.555084,1.128200,0.263896,0.842868,0.014862,-0.537915,0.000295,0.593488,0.823779,0.256762,-0.082869,-0.002229,-0.002992,0.996554
0.104490,0.000,6.000,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.000,0.000,0.000,0.000,0.496781,1.230025,0.353283,-0.000183,-0.000872,-0.000601,0.999999,0.555098,1.128201,0.263902,0.842862,0.014860,-0.537925,0.000355,0.593487,0.823781,0.256759,-0.082865,-0.002233,-0.002991,0.996554
0.114740,0.000,6.000,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.000,0.000,0.000,0.000,0.496780,1.230024,0.353285,-0.000186,-0.000864,-0.000611,0.999999,0.555094,1.128203,0.263900,0.842870,0.014841,-0.537913,0.000339,0.593487,0.823779,0.256757,-0.082863,-0.002234,-0.002983,0.996554
0.124940,0.000,6.000,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.000,0.000,0.000,0.000,0.496780,1.230024,0.353285,-0.000186,-0.000864,-0.000611,0.999999,0.555094,1.128203,0.263900,0.842870,0.014841,-0.537913,0.000339,0.593487,0.823779,0.256757,-0.082863,-0.002234,-0.002983,0.996554
0.135144,0.000,6.000,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.017,0.006,0.002,-0.087,0.496783,1.230027,0.353282,-0.000174,-0.000873,-0.000604,0.999999,0.555088,1.128201,0.263895,0.842858,0.014881,-0.537931,0.000301,0.593484,0.823779,0.256757,-0.082870,-0.002230,-0.002989,0.996553
0.145457,0.000,6.251,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.017,0.006,0.002,-0.087,0.496775,1.230025,0.353287,-0.000180,-0.000865,-0.000604,0.999999,0.555087,1.128204,0.263896,0.842848,0.014835,-0.537947,0.000302,0.593486,0.823781,0.256758,-0.082868,-0.002224,-0.002992,0.996554
0.155706,0.000,6.251,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.017,0.006,0.002,-0.087,0.496775,1.230025,0.353287,-0.000180,-0.000865,-0.000604,0.999999,0.555087,1.128204,0.263896,0.842848,0.014835,-0.537947,0.000302,0.593486,0.823781,0.256758,-0.082868,-0.002224,-0.002992,0.996554
0.165904,0.000,6.251,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.017,0.006,0.002,-0.087,0.496775,1.230025,0.353287,-0.000180,-0.000865,-0.000604,0.999999,0.555087,1.128204,0.263896,0.842848,0.014835,-0.537947,0.000302,0.593486,0.823781,0.256758,-0.082868,-0.002224,-0.002992,0.996554
0.176054,0.000,6.251,8.598,0.013,0.133,-0.001,0.005,0.022,0.040,-0.215,0.047,0.017,0.006,0.002,-0.087,0.496776,1.230023,0.353288,-0.000172,-0.000872,-0.000599,0.999999,0.555096,1.128205,0.263898,0.842863,0.014831,-0.537924,0.000306,0.593485,0.823782,0.256759,-0.082860,-0.002232,-0.002992,0.996554
