step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
13.0,0.136639,2.0,2.0,2.0,2.0,0.11621528,0.31453124,0.00164931,0.035,0.09994792,0.5562674,0.3453125,0.28881943,0.278125,1.230867,0.361807,0.001227,0.0008,0.001346,0.999998,0.249574,1.117755,0.361149,0.001674,0.001725,0.000501,0.999997,0.291497,0.809828,0.379472,0.065839,0.004285,-0.006972,0.997797,0.12947914,2.0,0.0
14.0,0.14650582,2.0,2.0,2.0,2.0,0.11621528,0.31453124,0.00164931,0.035,0.09994792,0.5562674,0.3453125,0.28881943,0.278125,1.230867,0.361807,0.001227,0.0008,0.001346,0.999998,0.249574,1.117755,0.361149,0.001674,0.001725,0.000501,0.999997,0.291497,0.809828,0.379472,0.065839,0.004285,-0.006972,0.997797,0.12947914,2.0,0.0
15.0,0.1566284,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278127,1.230866,0.361805,0.001219,0.000798,0.001351,0.999998,0.24958,1.117754,0.36115,0.001667,0.001726,0.000504,0.999997,0.291709,0.809923,0.379421,0.065634,0.004189,-0.007003,0.99781,0.14719099,2.0,0.0
16.0,0.16661593,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278127,1.230866,0.361805,0.001219,0.000798,0.001351,0.999998,0.24958,1.117754,0.36115,0.001667,0.001726,0.000504,0.999997,0.291709,0.809923,0.379421,0.065634,0.004189,-0.007003,0.99781,0.14719099,2.0,0.0
17.0,0.17746451,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278121,1.230868,0.361808,0.001225,0.000799,0.00135,0.999998,0.249569,1.117768,0.361137,0.001746,0.001759,0.000536,0.999997,0.2916,0.809951,0.379425,0.065581,0.004346,-0.00701,0.997813,0.1737055,2.0,0.0
18.0,0.18710208,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278121,1.230868,0.361808,0.001225,0.000799,0.00135,0.999998,0.249569,1.117768,0.361137,0.001746,0.001759,0.000536,0.999997,0.2916,0.809951,0.379425,0.065581,0.004346,-0.00701,0.997813,0.1737055,2.0,0.0
19.0,0.20139259,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278121,1.230868,0.361808,0.001225,0.000799,0.00135,0.999998,0.249569,1.117768,0.361137,0.001746,0.001759,0.000536,0.999997,0.2916,0.809951,0.379425,0.065581,0.004346,-0.00701,0.997813,0.1737055,2.0,0.0
20.0,0.21599147,2.0,2.0,2.0,2.0,0.11480903,0.31453124,-0.00538194,0.035,0.10697917,0.52392364,0.33546874,0.2817882,0.278121,1.230868,0.361808,0.001225,0.000799,0.00135,0.999998,0.249569,1.117768,0.361137,0.001746,0.001759,0.000536,0.999997,0.2916,0.809951,0.379425,0.065581,0.004346,-0.00701,0.997813,0.1737055,2.0,0.0
21.0,0.21647899,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278121,1.230868,0.361808,0.001225,0.000799,0.00135,0.999998,0.249569,1.117768,0.361137,0.001746,0.001759,0.000536,0.999997,0.2916,0.809951,0.379425,0.065581,0.004346,-0.00701,0.997813,0.1737055,2.0,0.0
22.0,0.22710522,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278124,1.230869,0.361805,0.001225,0.000799,0.00135,0.999998,0.24957,1.117762,0.361141,0.001717,0.00177,0.000523,0.999997,0.291578,0.809983,0.379452,0.065481,0.004351,-0.006954,0.99782,0.2160507,2.0,0.0
23.0,0.23749717,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278125,1.230869,0.361808,0.001229,0.000798,0.001351,0.999998,0.249575,1.117756,0.361147,0.001687,0.001745,0.000507,0.999997,0.291562,0.810001,0.379454,0.065454,0.004385,-0.006925,0.997822,0.22722082,2.0,0.0
24.0,0.25147486,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278125,1.230869,0.361808,0.001229,0.000798,0.001351,0.999998,0.249575,1.117756,0.361147,0.001687,0.001745,0.000507,0.999997,0.291562,0.810001,0.379454,0.065454,0.004385,-0.006925,0.997822,0.22722082,2.0,0.0
25.0,0.2618721,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278125,1.23087,0.361808,0.001225,0.000795,0.001355,0.999998,0.249575,1.117752,0.361148,0.001674,0.001748,0.000499,0.999997,0.291574,0.810027,0.379474,0.065349,0.004393,-0.006889,0.997829,0.26177087,2.0,0.0
26.0,0.2669971,2.0,2.0,2.0,2.0,0.11902778,0.313125,0.00024306,0.03640625,0.10697917,0.5253299,0.33265626,0.28038195,0.278125,1.23087,0.361808,0.001225,0.000795,0.001355,0.999998,0.249575,1.117752,0.361148,0.001674,0.001748,0.000499,0.999997,0.291574,0.810027,0.379474,0.065349,0.004393,-0.006889,0.997829,0.26177087,2.0,0.0
27.0,0.28222525,2.0,2.0,2.0,2.0,0.11480903,0.31171876,0.00024306,0.03640625,0.10416667,0.53376734,0.32703125,0.2789757,0.278125,1.23087,0.361808,0.001225,0.000795,0.001355,0.999998,0.249575,1.117752,0.361148,0.001674,0.001748,0.000499,0.999997,0.291574,0.810027,0.379474,0.065349,0.004393,-0.006889,0.997829,0.26177087,2.0,0.0
28.0,0.30050564,2.0,2.0,2.0,2.0,0.11480903,0.31171876,0.00024306,0.03640625,0.10416667,0.53376734,0.32703125,0.2789757,0.278125,1.23087,0.361808,0.001225,0.000795,0.001355,0.999998,0.249575,1.117752,0.361148,0.001674,0.001748,0.000499,0.999997,0.291574,0.810027,0.379474,0.065349,0.004393,-0.006889,0.997829,0.26177087,2.0,0.0
29.0,0.30054325,2.0,2.0,2.0,2.0,0.11480903,0.31171876,0.00024306,0.03640625,0.10416667,0.53376734,0.32703125,0.2789757,0.278125,1.23087,0.361808,0.001225,0.000795,0.001355,0.999998,0.249575,1.117752,0.361148,0.001674,0.001748,0.000499,0.999997,0.291574,0.810027,0.379474,0.065349,0.004393,-0.006889,0.997829,0.26177087,2.0,0.0
30.0,0.30750817,2.0,2.0,2.0,2.0,0.11480903,0.31171876,0.00024306,0.03640625,0.10416667,0.53376734,0.32703125,0.2789757,0.278126,1.230867,0.361808,0.001223,0.000797,0.001356,0.999998,0.249577,1.117752,0.36115,0.001685,0.001759,0.000495,0.999997,0.291567,0.810049,0.379481,0.065333,0.004397,-0.006847,0.99783,0.3004435,2.0,0.0
31.0,0.32198113,2.0,2.0,2.0,2.0,0.10918403,0.3159375,0.00164931,0.035,0.10416667,0.5464236,0.32703125,0.28460068,0.278126,1.230868,0.361808,0.001227,0.000794,0.001356,0.999998,0.249569,1.117761,0.361144,0.001688,0.001756,0.000527,0.999997,0.291569,0.810043,0.379492,0.065276,0.004387,-0.006903,0.997834,0.31359255,2.0,0.0
32.0,0.33151206,2.0,2.0,2.0,2.0,0.10918403,0.3159375,0.00164931,0.035,0.10416667,0.5464236,0.32703125,0.28460068,0.278123,1.230866,0.361809,0.001226,0.000794,0.00135,0.999998,0.249571,1.117765,0.361141,0.00174,0.001773,0.00054,0.999997,0.291561,0.810059,0.379496,0.065272,0.004397,-0.006862,0.997834,0.32226753,2.0,0.0
33.0,0.3462027,2.0,2.0,2.0,2.0,0.10918403,0.3159375,0.00164931,0.035,0.10416667,0.5464236,0.32703125,0.28460068,0.278123,1.230866,0.361809,0.001226,0.000794,0.00135,0.999998,0.249571,1.117765,0.361141,0.00174,0.001773,0.00054,0.999997,0.291561,0.810059,0.379496,0.065272,0.004397,-0.006862,0.997834,0.32226753,2.0,0.0
