step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.012980891,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268477,1.230555,0.36036,0.001291,0.007711,0.00031,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.011418386,2.0,0.0
1.0,0.06995014,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
2.0,0.070043035,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
3.0,0.07006977,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
4.0,0.07009251,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
5.0,0.070109256,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
6.0,0.0777942,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.268479,1.230556,0.36036,0.001294,0.007714,0.000306,0.999969,0.239786,1.117759,0.359972,0.002671,0.008158,0.000249,0.999963,0.282972,0.814017,0.383152,0.82922,0.231957,0.507569,-0.03104,0.037707627,2.0,0.0
7.0,0.08575556,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268478,1.230556,0.360363,0.001295,0.007714,0.000306,0.999969,0.239782,1.117759,0.359971,0.002676,0.008183,0.000284,0.999963,0.282987,0.81401,0.383148,0.829224,0.231967,0.507557,-0.03105,0.08479515,2.0,0.0
8.0,0.09673154,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268478,1.230556,0.360363,0.001295,0.007714,0.000306,0.999969,0.239782,1.117759,0.359971,0.002676,0.008183,0.000284,0.999963,0.282987,0.81401,0.383148,0.829224,0.231967,0.507557,-0.03105,0.08479515,2.0,0.0
9.0,0.107038,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268478,1.230556,0.360363,0.001295,0.007714,0.000306,0.999969,0.239782,1.117759,0.359971,0.002676,0.008183,0.000284,0.999963,0.282987,0.81401,0.383148,0.829224,0.231967,0.507557,-0.03105,0.08479515,2.0,0.0
10.0,0.11785445,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268477,1.230557,0.36036,0.001298,0.007713,0.00031,0.999969,0.239784,1.117762,0.359974,0.002676,0.008163,0.000269,0.999963,0.282965,0.814027,0.383177,0.829178,0.232003,0.507615,-0.031066,0.09660836,2.0,0.0
11.0,0.123428516,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268477,1.230557,0.36036,0.001298,0.007713,0.00031,0.999969,0.239784,1.117762,0.359974,0.002676,0.008163,0.000269,0.999963,0.282965,0.814027,0.383177,0.829178,0.232003,0.507615,-0.031066,0.09660836,2.0,0.0
12.0,0.1431324,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268482,1.230554,0.360361,0.001294,0.007708,0.000301,0.999969,0.239783,1.117761,0.359971,0.002672,0.008181,0.000267,0.999963,0.282991,0.814017,0.383153,0.82922,0.231984,0.507557,-0.031046,0.11764129,2.0,0.0
13.0,0.14316636,2.0,2.0,2.0,2.0,-0.0628125,-0.0853125,-0.09234375,-0.06421875,-0.05859375,0.699375,-0.015,-0.09796875,0.268482,1.230554,0.360361,0.001294,0.007708,0.000301,0.999969,0.239783,1.117761,0.359971,0.002672,0.008181,0.000267,0.999963,0.282991,0.814017,0.383153,0.82922,0.231984,0.507557,-0.031046,0.11764129,2.0,0.0
