time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.001667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014189,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024455,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034745,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482674,1.229019,0.317350,-0.000031,-0.000019,0.000066,1.000000,0.542351,1.127457,0.230569,-0.001285,-0.005995,0.000057,0.999981,0.596723,0.784393,0.291449,-0.068424,-0.017356,0.080672,0.994238
0.045096,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482674,1.229019,0.317350,-0.000031,-0.000019,0.000066,1.000000,0.542351,1.127457,0.230569,-0.001285,-0.005995,0.000057,0.999981,0.596723,0.784393,0.291449,-0.068424,-0.017356,0.080672,0.994238
0.055443,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482674,1.229019,0.317350,-0.000031,-0.000019,0.000066,1.000000,0.542351,1.127457,0.230569,-0.001285,-0.005995,0.000057,0.999981,0.596723,0.784393,0.291449,-0.068424,-0.017356,0.080672,0.994238
0.066128,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482671,1.229018,0.317351,-0.000028,-0.000022,0.000070,1.000000,0.542353,1.127461,0.230567,-0.001280,-0.005992,0.000082,0.999981,0.596720,0.784394,0.291449,-0.068424,-0.017357,0.080669,0.994238
0.076503,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482671,1.229018,0.317351,-0.000028,-0.000022,0.000070,1.000000,0.542353,1.127461,0.230567,-0.001280,-0.005992,0.000082,0.999981,0.596720,0.784394,0.291449,-0.068424,-0.017357,0.080669,0.994238
0.086899,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.747,0.763,0.685,0.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482671,1.229019,0.317348,-0.000023,-0.000021,0.000066,1.000000,0.542348,1.127458,0.230567,-0.001253,-0.006006,0.000106,0.999981,0.596721,0.784397,0.291447,-0.068434,-0.017355,0.080666,0.994238
0.097263,5.000,0.000,0.000,0.299,0.314,0.325,0.339,0.747,0.763,0.685,0.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482671,1.229019,0.317348,-0.000023,-0.000021,0.000066,1.000000,0.542348,1.127458,0.230567,-0.001253,-0.006006,0.000106,0.999981,0.596721,0.784397,0.291447,-0.068434,-0.017355,0.080666,0.994238
