time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2_pouch_1,Measured_pressure_Segment_2_pouch_2,Measured_pressure_Segment_2_pouch_3,Measured_pressure_Segment_2_pouch_4,Measured_pressure_Segment_2_pouch_5,Measured_pressure_Segment_4,Measured_pressure_Segment_3,mocap_rigid_body_x,mocap_rigid_body_y,mocap_rigid_body_z,mocap_rigid_body_qx,mocap_rigid_body_qy,mocap_rigid_body_qz,mocap_rigid_body_qw
0.000792,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011646,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433773,0.808413,0.268746,-0.122563,-0.006351,0.020947,0.992219
0.021815,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433773,0.808413,0.268746,-0.122563,-0.006351,0.020947,0.992219
0.032100,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433773,0.808413,0.268746,-0.122563,-0.006351,0.020947,0.992219
0.042286,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433775,0.808403,0.268746,-0.122558,-0.006351,0.020931,0.992220
0.052481,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433775,0.808403,0.268746,-0.122558,-0.006351,0.020931,0.992220
0.062637,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433775,0.808403,0.268746,-0.122558,-0.006351,0.020931,0.992220
0.072817,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433764,0.808348,0.268757,-0.122478,-0.006372,0.020843,0.992232
0.082975,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433764,0.808348,0.268757,-0.122478,-0.006372,0.020843,0.992232
0.093136,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433781,0.808424,0.268746,-0.122589,-0.006349,0.020965,0.992216
0.103254,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433779,0.808419,0.268746,-0.122590,-0.006348,0.020959,0.992216
0.113426,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433779,0.808419,0.268746,-0.122590,-0.006348,0.020959,0.992216
0.123583,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433771,0.808347,0.268759,-0.122478,-0.006365,0.020848,0.992232
0.133750,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,2.014200,0.139700,0.141100,0.093300,0.000000,0.000000,0.000000,0.000000,0.433768,0.808354,0.268761,-0.122490,-0.006363,0.020858,0.992230
0.143906,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,2.014200,0.139700,0.141100,0.093300,0.000000,0.000000,0.000000,0.000000,0.433768,0.808354,0.268761,-0.122490,-0.006363,0.020858,0.992230
0.154049,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,2.014200,0.139700,0.141100,0.093300,0.000000,0.000000,0.000000,0.000000,0.433768,0.808354,0.268761,-0.122490,-0.006363,0.020858,0.992230
0.164198,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,2.014200,0.139700,0.141100,0.093300,0.000000,0.000000,0.000000,0.000000,0.433768,0.808354,0.268761,-0.122490,-0.006363,0.020858,0.992230
0.174382,2.000,2.000,0.000,2.000,1.995900,2.181600,1.988900,2.000200,2.014200,0.139700,0.141100,0.093300,0.118600,0.110200,0.018800,-0.020600,0.433770,0.808351,0.268760,-0.122494,-0.006366,0.020860,0.992230
