time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.260000,3.3700,3.3700,3.3700,3.3700,3.3700,1.6905,1.6905,1.6905,1.6905,1.6905,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.270000,3.3568,3.3568,3.3568,3.3568,3.3568,1.6981,1.6981,1.6981,1.6981,1.6981,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.280000,3.3436,3.3436,3.3436,3.3436,3.3436,1.7058,1.7058,1.7058,1.7058,1.7058,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.290000,3.3304,3.3304,3.3304,3.3304,3.3304,1.7134,1.7134,1.7134,1.7134,1.7134,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.300000,3.3172,3.3172,3.3172,3.3172,3.3172,1.7210,1.7210,1.7210,1.7210,1.7210,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.310000,3.3040,3.3040,3.3040,3.3040,3.3040,1.7286,1.7286,1.7286,1.7286,1.7286,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.320000,3.2908,3.2908,3.2908,3.2908,3.2908,1.7363,1.7363,1.7363,1.7363,1.7363,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.330000,3.2776,3.2776,3.2776,3.2776,3.2776,1.7439,1.7439,1.7439,1.7439,1.7439,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.340000,3.2644,3.2644,3.2644,3.2644,3.2644,1.7515,1.7515,1.7515,1.7515,1.7515,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.350000,3.2512,3.2512,3.2512,3.2512,3.2512,1.7591,1.7591,1.7591,1.7591,1.7591,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.360000,3.2380,3.2380,3.2380,3.2380,3.2380,1.7667,1.7667,1.7667,1.7667,1.7667,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.370000,3.2248,3.2248,3.2248,3.2248,3.2248,1.7744,1.7744,1.7744,1.7744,1.7744,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.380000,3.2116,3.2116,3.2116,3.2116,3.2116,1.7820,1.7820,1.7820,1.7820,1.7820,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.390000,3.1984,3.1984,3.1984,3.1984,3.1984,1.7896,1.7896,1.7896,1.7896,1.7896,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.400000,3.1852,3.1852,3.1852,3.1852,3.1852,1.7972,1.7972,1.7972,1.7972,1.7972,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.410000,3.1720,3.1720,3.1720,3.1720,3.1720,1.8048,1.8048,1.8048,1.8048,1.8048,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.420000,3.1588,3.1588,3.1588,3.1588,3.1588,1.8125,1.8125,1.8125,1.8125,1.8125,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.430000,3.1456,3.1456,3.1456,3.1456,3.1456,1.8201,1.8201,1.8201,1.8201,1.8201,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.440000,3.1324,3.1324,3.1324,3.1324,3.1324,1.8277,1.8277,1.8277,1.8277,1.8277,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.450000,3.1192,3.1192,3.1192,3.1192,3.1192,1.8353,1.8353,1.8353,1.8353,1.8353,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.460000,3.1060,3.1060,3.1060,3.1060,3.1060,1.8429,1.8429,1.8429,1.8429,1.8429,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.470000,3.0928,3.0928,3.0928,3.0928,3.0928,1.8506,1.8506,1.8506,1.8506,1.8506,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.480000,3.0796,3.0796,3.0796,3.0796,3.0796,1.8582,1.8582,1.8582,1.8582,1.8582,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.490000,3.0664,3.0664,3.0664,3.0664,3.0664,1.8658,1.8658,1.8658,1.8658,1.8658,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.500000,3.0532,3.0532,3.0532,3.0532,3.0532,1.8734,1.8734,1.8734,1.8734,1.8734,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.510000,3.0400,3.0400,3.0400,3.0400,3.0400,1.8811,1.8811,1.8811,1.8811,1.8811,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.520000,3.0268,3.0268,3.0268,3.0268,3.0268,1.8887,1.8887,1.8887,1.8887,1.8887,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.530000,3.0136,3.0136,3.0136,3.0136,3.0136,1.8963,1.8963,1.8963,1.8963,1.8963,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.540000,3.0004,3.0004,3.0004,3.0004,3.0004,1.9039,1.9039,1.9039,1.9039,1.9039,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.550000,2.9872,2.9872,2.9872,2.9872,2.9872,1.9115,1.9115,1.9115,1.9115,1.9115,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.560000,2.9740,2.9740,2.9740,2.9740,2.9740,1.9192,1.9192,1.9192,1.9192,1.9192,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.570000,2.9608,2.9608,2.9608,2.9608,2.9608,1.9268,1.9268,1.9268,1.9268,1.9268,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.580000,2.9476,2.9476,2.9476,2.9476,2.9476,1.9344,1.9344,1.9344,1.9344,1.9344,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.590000,2.9344,2.9344,2.9344,2.9344,2.9344,1.9420,1.9420,1.9420,1.9420,1.9420,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.600000,2.9212,2.9212,2.9212,2.9212,2.9212,1.9496,1.9496,1.9496,1.9496,1.9496,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.610000,2.9080,2.9080,2.9080,2.9080,2.9080,1.9573,1.9573,1.9573,1.9573,1.9573,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.620000,2.8948,2.8948,2.8948,2.8948,2.8948,1.9649,1.9649,1.9649,1.9649,1.9649,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.630000,2.8816,2.8816,2.8816,2.8816,2.8816,1.9725,1.9725,1.9725,1.9725,1.9725,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.640000,2.8684,2.8684,2.8684,2.8684,2.8684,1.9801,1.9801,1.9801,1.9801,1.9801,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.650000,2.8552,2.8552,2.8552,2.8552,2.8552,1.9877,1.9877,1.9877,1.9877,1.9877,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.660000,2.8420,2.8420,2.8420,2.8420,2.8420,1.9954,1.9954,1.9954,1.9954,1.9954,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.670000,2.8288,2.8288,2.8288,2.8288,2.8288,2.0030,2.0030,2.0030,2.0030,2.0030,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.680000,2.8156,2.8156,2.8156,2.8156,2.8156,2.0106,2.0106,2.0106,2.0106,2.0106,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.690000,2.8024,2.8024,2.8024,2.8024,2.8024,2.0182,2.0182,2.0182,2.0182,2.0182,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.700000,2.7892,2.7892,2.7892,2.7892,2.7892,2.0259,2.0259,2.0259,2.0259,2.0259,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.710000,2.7760,2.7760,2.7760,2.7760,2.7760,2.0335,2.0335,2.0335,2.0335,2.0335,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
