time,pd_4,pd_7,pd_8,pd_3,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,pm_3_1,pm_3_2,pm_3_3,pm_3_4,mocap1_x,mocap1_y,mocap1_z,mocap1_qx,mocap1_qy,mocap1_qz,mocap1_qw,mocap2_x,mocap2_y,mocap2_z,mocap2_qx,mocap2_qy,mocap2_qz,mocap2_qw,mocap3_x,mocap3_y,mocap3_z,mocap3_qx,mocap3_qy,mocap3_qz,mocap3_qw
0.000744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496279,1.229673,0.352288,-0.000278,0.000878,0.000235,1.000000,0.554354,1.127669,0.262704,0.000172,0.001808,0.000905,0.999998,0.601894,0.817619,0.260949,-0.105790,-0.002860,0.031331,0.993891
0.031228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496279,1.229672,0.352289,-0.000281,0.000874,0.000233,1.000000,0.554348,1.127669,0.262707,0.000179,0.001830,0.000929,0.999998,0.601893,0.817624,0.260943,-0.105796,-0.002862,0.031328,0.993890
0.041363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496280,1.229668,0.352286,-0.000283,0.000878,0.000229,1.000000,0.554352,1.127671,0.262706,0.000179,0.001820,0.000892,0.999998,0.601891,0.817621,0.260941,-0.105792,-0.002859,0.031326,0.993891
0.051536,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496275,1.229671,0.352291,-0.000280,0.000877,0.000232,1.000000,0.554353,1.127669,0.262707,0.000173,0.001807,0.000900,0.999998,0.601893,0.817619,0.260941,-0.105794,-0.002849,0.031336,0.993890
0.061686,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496275,1.229671,0.352291,-0.000280,0.000877,0.000232,1.000000,0.554353,1.127669,0.262707,0.000173,0.001807,0.000900,0.999998,0.601893,0.817619,0.260941,-0.105794,-0.002849,0.031336,0.993890
0.071849,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496275,1.229671,0.352291,-0.000280,0.000877,0.000232,1.000000,0.554353,1.127669,0.262707,0.000173,0.001807,0.000900,0.999998,0.601893,0.817619,0.260941,-0.105794,-0.002849,0.031336,0.993890
0.081965,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496277,1.229675,0.352290,-0.000274,0.000872,0.000232,1.000000,0.554344,1.127666,0.262702,0.000198,0.001796,0.000906,0.999998,0.601890,0.817623,0.260945,-0.105797,-0.002851,0.031332,0.993890
0.092078,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.200,0.427,0.047,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496275,1.229671,0.352290,-0.000284,0.000873,0.000229,1.000000,0.554352,1.127672,0.262702,0.000167,0.001803,0.000885,0.999998,0.601895,0.817622,0.260945,-0.105791,-0.002859,0.031328,0.993891
0.102166,0.000,0.000,0.000,0.000,0.199,0.209,0.182,0.197,0.200,0.427,0.047,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496275,1.229671,0.352290,-0.000284,0.000873,0.000229,1.000000,0.554352,1.127672,0.262702,0.000167,0.001803,0.000885,0.999998,0.601895,0.817622,0.260945,-0.105791,-0.002859,0.031328,0.993891
